System,DF Activated,FountainType,FountainCount,Painted,Filter Installed,Position,Outdoor,GISPropNum,PropertyName,OMPPropID,SubPropertyName,ParkDistrict,Borough,AMPSID,AMPSClass,AMPSStatus,AMPSParentID,AMPSName,CommunityBoard,CouncilDistrict,Precinct,ZIPCode
B223DA-DF0724,Activated,E and Dog,2,TRUE,FALSE,"Under Tree, Out in Open",TRUE,B223DA,Adam Yauch Park,B223DA,,B-02,B,"100,039,111",DRINKFTN,I,B223DA,E and Dog-Adam Yauch Park,302,33,84,11201
B223DE-DF0943,Activated,E,1,,FALSE,,TRUE,B223DE,Brooklyn Heights Promenade,B223DE,,B-02,B,"100,040,490",DRINKFTN,I,B223DE,E-Brooklyn Heights Promenade,302,33,84,11201
B223DG-DF0944,Activated,E,1,,FALSE,,TRUE,B223DG,Brooklyn Heights Promenade,B223DG,,B-02,B,"100,040,450",DRINKFTN,I,B223DG,E-Brooklyn Heights Promenade,302,33,84,11201
B223DJ-DF0945,Activated,E,1,,FALSE,,TRUE,B223DJ,Brooklyn Heights Promenade,B223DJ,,B-02,B,"100,040,481",DRINKFTN,I,B223DJ,E-Brooklyn Heights Promenade,302,33,84,11201
B223F-DF0886,Activated,C,1,,FALSE,Out in Open,TRUE,B223F,Squibb Park,B223F,,B-02,B,"100,040,239",DRINKFTN,I,B223F,C-Squibb Park,302,33,84,11201
B223F-DF0887,Activated,A,1,,FALSE,Out in Open,TRUE,B223F,Squibb Park,B223F,,B-02,B,"100,040,227",DRINKFTN,I,B223F,A-Squibb Park,302,33,84,11201
B223G-DF0206,Activated,E and Dog,2,TRUE,FALSE,"Under Tree, Out in Open",TRUE,B223G,Hillside Dog Park,B223G,,B-02,B,"100,037,606",DRINKFTN,I,B223G,E and Dog-Hillside Dog Park,302,33,84,11201
B223G-DF0888,Activated,E and Dog,2,,FALSE,"Under Tree, In Shade",TRUE,B223G,Hillside Dog Park,B223G,,B-02,B,"100,040,250",DRINKFTN,I,B223G,E and Dog-Hillside Dog Park,302,33,84,11201
B223H-DF0203,Activated,E,1,TRUE,FALSE,"Under Tree, In Playground, Out in Open",TRUE,B223H,Harry Chapin Playground,B223H,,B-02,B,"100,037,609",DRINKFTN,I,B223H,E-Harry Chapin Playground,302,33,84,11201
B223JB-DF0208,Activated,A,1,TRUE,FALSE,"In Playground, Out in Open",TRUE,B223JB,Bridge Park,B223JB,,B-02,B,"100,037,599",DRINKFTN,I,B223JB,A-Bridge Park-Comfort Station,302,33,84,11201
B223JB-DF0889,Activated,A,1,TRUE,FALSE,Near Ballfield,TRUE,B223JB,Bridge Park,B223JB,,B-02,B,"100,040,252",DRINKFTN,I,B223JB,A-Bridge Park,302,33,84,11201
B223JC-DF0209,Activated,A,1,TRUE,FALSE,Out in Open,TRUE,B223JC,Bridge Park 3,B223JC,,B-02,B,"100,037,635",DRINKFTN,I,B223JC,A-Bridge Park 3,302,33,84,11201
B223K-DF0890,Activated,A,1,FALSE,FALSE,"Under Tree, In Shade",TRUE,B223K,Trinity Park,B223K,,B-02,B,"100,040,278",DRINKFTN,I,B223K,A-Trinity Park,302,33,84,11201
B223NC-DF0415,Activated,D,1,FALSE,FALSE,"Under Tree, In Shade, Just Outside Playground",TRUE,B223NC,Penn Triangle,B223NC,,B-01,B,"100,037,980",DRINKFTN,I,B223NC,D-Penn Triangle,301,33,90,11249
B223PA-DF0403,Activated,A,1,TRUE,FALSE,Under Tree,TRUE,B223PA,Rodney Park Center,B223PA,,B-01,B,"100,037,914",DRINKFTN,I,B223PA,A-Rodney Park Center,301,34,90,11211
B223PB-DF0402,Activated,A,1,TRUE,TRUE,"Under Tree, In Playground",TRUE,B223PB,Rodney Park North,B223PB,,B-01,B,"100,037,981",DRINKFTN,I,B223PB,A-Rodney Park North,301,34,90,11211
