System,DF Activated,FountainType,FountainCount,Painted,Filter Installed,Position,Outdoor,GISPropNum,PropertyName,OMPPropID,SubPropertyName,ParkDistrict,Borough,AMPSID,AMPSClass,AMPSStatus,AMPSParentID,AMPSName,CommunityBoard,CouncilDistrict,Precinct,ZIPCode
B001-DF0207,Activated,A,1,TRUE,FALSE,"Under Tree, In Playground",TRUE,B001,American Playground,B001,,B-01,B,"100,037,676",DRINKFTN,D,B001,A-American Playground,301,33,94,11222
B002-DF0731,Broken,E,1,TRUE,FALSE,Out in Open,TRUE,B002,Amersfort Park,B002,,B-18,B,"100,039,159",DRINKFTN,I,B002,E-Amersfort Park,318,45,63,11210
B002-DF0732,Broken,E,1,TRUE,FALSE,"Under Tree, Out in Open",TRUE,B002,Amersfort Park,B002,,B-18,B,"100,039,177",DRINKFTN,I,B002,E-Amersfort Park,318,45,63,11210
B007-DF0754,UnderConstruction,CS Metal,1,FALSE,FALSE,In Shade,TRUE,B007,Bensonhurst Park,B007,,B-11,B,"100,039,198",DRINKFTN,I,B007,CS Metal-Bensonhurst Park,311,43,62,11214
B007-DF0756,UnderConstruction,A,1,TRUE,TRUE,"Out in Open, In Playground",TRUE,B007,Bensonhurst Park,B007-01,Bensonhurst Park Playground,B-11,B,"100,039,249",DRINKFTN,I,B007-01,A-Bensonhurst Park-Bensonhurst Park Playground,311,43,62,11214
B007-DF0757,UnderConstruction,A,1,TRUE,TRUE,"Near Ballfield, Out in Open",TRUE,B007,Bensonhurst Park,B007,,B-11,B,"100,039,244",DRINKFTN,I,B007,A-Bensonhurst Park,311,43,62,11214
B007-DF0765,Broken,A,1,TRUE,FALSE,Out in Open,TRUE,B007,Bensonhurst Park,B007,,B-11,B,"100,039,304",DRINKFTN,I,B007,A-Bensonhurst Park,311,43,62,11214
B007-DF0766,UnderConstruction,A,1,TRUE,TRUE,"Near Ballfield, Out in Open",TRUE,B007,Bensonhurst Park,B007,,B-11,B,"100,039,306",DRINKFTN,I,B007,A-Bensonhurst Park,311,43,62,11214
B007-DF0767,Broken,A,1,TRUE,FALSE,Out in Open,TRUE,B007,Bensonhurst Park,B007,,B-11,B,"100,039,333",DRINKFTN,I,B007,A-Bensonhurst Park,311,43,62,11214
B008-DF0018,Activated,F High Low,2,TRUE,FALSE,Just Outside Playground,TRUE,B008,Betsy Head Park,B008-03,Imagination Playground at Betsy Head,B-16,B,"100,037,440",DRINKFTN,I,B008-03,F High Low-Betsy Head Park-Imagination Playground at Betsy Head,316,41,73,11212
B008-DF0022,Activated,F High Low,2,TRUE,FALSE,Out in Open,TRUE,B008,Betsy Head Park,B008-03,Imagination Playground at Betsy Head,B-16,B,"100,037,432",DRINKFTN,I,B008-03,F High Low-Betsy Head Park-Imagination Playground at Betsy Head,316,41,73,11212
B008-DF0133,Broken,A,1,TRUE,FALSE,Near Ballfield,TRUE,B008,Betsy Head Park,B008,,B-16,B,"100,037,575",DRINKFTN,I,B008,A-Betsy Head Park,316,41,73,11212
B008-DF0136,Broken,A,1,TRUE,FALSE,"Under Tree, In Shade",TRUE,B008,Betsy Head Park,B008,,B-16,B,"100,037,571",DRINKFTN,I,B008,A-Betsy Head Park,316,41,73,11212
B008-DF0137,Broken,A,1,TRUE,FALSE,Near Ballfield,TRUE,B008,Betsy Head Park,B008,,B-16,B,"100,037,493",DRINKFTN,I,B008,A-Betsy Head Park,316,41,73,11212
B008-DF0139,Activated,A,1,TRUE,FALSE,Out in Open,TRUE,B008,Betsy Head Park,B008,,B-16,B,"100,037,565",DRINKFTN,I,B008,A-Betsy Head Park,316,41,73,11212
B008-DF0140,Activated,D,1,TRUE,TRUE,Out in Open,TRUE,B008,Betsy Head Park,B008,,B-16,B,"100,037,498",DRINKFTN,I,B008,D-Betsy Head Park,316,41,73,11212
B008-DF0141,Activated,A,1,TRUE,FALSE,Out in Open,TRUE,B008,Betsy Head Park,B008,,B-16,B,"100,037,522",DRINKFTN,I,B008,A-Betsy Head Park,316,41,73,11212
B008-DF1027,Activated,Indoor Drinking Fountain,1,,FALSE,Indoor,FALSE,B008,Betsy Head Park,B008,,B-16,B,"100,042,935",DRINKFTN,I,B008-BLG1187,Indoor Fountain-Betsy Head Park-Field House,316,41,73,11212
B008-DF1037,Activated,Indoor Drinking Fountain,1,,FALSE,Indoor,FALSE,B008,Betsy Head Park,B008,,B-16,B,"100,042,964",DRINKFTN,I,B008-BLG1187,Indoor Drinking Fountain-Betsy Head Park-Field House,316,41,73,11212
B010-DF0637,NotYetActivated,A,1,FALSE,FALSE,,TRUE,B010,Brooklyn Botanic Garden,B010,,B-19,B,"100,038,852",DRINKFTN,I,B010,A-Brooklyn Botanic Garden,355,35,78,11238
B010-DF0980,NotYetActivated,E High Low,2,,FALSE,,TRUE,B010,Brooklyn Botanic Garden,B010,,B-19,B,"100,042,941",DRINKFTN,I,B010,E High Low-Brooklyn Botanic Garden,355,35,78,11238
B010-DF0984,NotYetActivated,E,1,,FALSE,,TRUE,B010,Brooklyn Botanic Garden,B010,,B-19,B,"100,042,972",DRINKFTN,I,B010,E-Brooklyn Botanic Garden,355,35,78,11238
B010-DF0985,NotYetActivated,E,1,,FALSE,,TRUE,B010,Brooklyn Botanic Garden,B010,,B-19,B,"100,042,952",DRINKFTN,I,B010,E-Brooklyn Botanic Garden,355,35,78,11238
B010-DF0986,NotYetActivated,E,1,,FALSE,,TRUE,B010,Brooklyn Botanic Garden,B010,,B-19,B,"100,042,977",DRINKFTN,I,B010,E-Brooklyn Botanic Garden,355,35,78,11238
B012-DF0463,Activated,C,1,TRUE,FALSE,"Under Tree, In Playground",TRUE,B012,Brower Park,B012-03,Brower Park,B-08,B,"100,038,054",DRINKFTN,I,B012-03,C-Brower Park-Brower Park,308,36,77,11213
B012-DF0466,Activated,C,1,TRUE,TRUE,Out in Open,TRUE,B012,Brower Park,B012,,B-08,B,"100,037,997",DRINKFTN,I,B012,C-Brower Park,308,36,77,11213
B016-DF0012,Broken,C,1,FALSE,FALSE,In Playground,TRUE,B016,Maria Hernandez Park,B016-01,Maria Hernandez Park Playground,B-04,B,"100,037,431",DRINKFTN,I,B016-01,C-Maria Hernandez Park-Maria Hernandez Park Playground,304,34,83,11237
B016-DF0013,Activated,E,1,TRUE,FALSE,Out in Open,TRUE,B016,Maria Hernandez Park,B016,,B-04,B,"100,037,411",DRINKFTN,I,B016,E-Maria Hernandez Park,304,34,83,11237
B016-DF0014,Activated,E High Low,2,TRUE,FALSE,Out in Open,TRUE,B016,Maria Hernandez Park,B016,,B-04,B,"100,037,428",DRINKFTN,I,B016,E High Low-Maria Hernandez Park,304,34,83,11237
B016-DF0015,Activated,A,1,TRUE,FALSE,Near Ballfield,TRUE,B016,Maria Hernandez Park,B016-02,Maria Hernandez Park,B-04,B,"100,037,408",DRINKFTN,I,B016-02,A-Maria Hernandez Park-Maria Hernandez Park,304,34,83,11237
B016-DF0016,Activated,E and Dog,2,TRUE,TRUE,Out in Open,TRUE,B016,Maria Hernandez Park,B016,,B-04,B,"100,037,425",DRINKFTN,I,B016,E and Dog-Maria Hernandez Park,304,34,83,11237
B016-DF0017,Activated,E and Dog,2,TRUE,TRUE,Out in Open,TRUE,B016,Maria Hernandez Park,B016,,B-04,B,"100,037,405",DRINKFTN,I,B016,E and Dog-Maria Hernandez Park,304,34,83,11237
B017-DF0043,Activated,A,1,TRUE,FALSE,"Out in Open, Near Ballfield",TRUE,B017,Bushwick Playground,B017,,B-04,B,"100,037,458",DRINKFTN,I,B017,A-Bushwick Playground,304,37,83,11237
B017-DF0044,Activated,A,1,TRUE,FALSE,"Out in Open, Near Ballfield",TRUE,B017,Bushwick Playground,B017,,B-04,B,"100,037,479",DRINKFTN,I,B017,A-Bushwick Playground,304,37,83,11237
B017-DF0045,Activated,A,1,TRUE,FALSE,"Just Outside Playground, Near Ballfield",TRUE,B017,Bushwick Playground,B017,,B-04,B,"100,037,455",DRINKFTN,I,B017,A-Bushwick Playground,304,37,83,11237
B017-DF0046,Activated,C,1,FALSE,FALSE,"Under Tree, In Shade, Out in Open, Near Ballfield, Just Outside Playground",TRUE,B017,Bushwick Playground,B017,,B-04,B,"100,037,476",DRINKFTN,I,B017,C-Bushwick Playground,304,37,83,11237
B017-DF0047,Activated,C,1,FALSE,FALSE,"Under Tree, In Shade, Out in Open, In Playground",TRUE,B017,Bushwick Playground,B017,,B-04,B,"100,037,452",DRINKFTN,I,B017,C-Bushwick Playground,304,37,83,11237
B017-DF0048,Activated,C,1,FALSE,FALSE,"Out in Open, Just Outside Playground",TRUE,B017,Bushwick Playground,B017,,B-04,B,"100,037,488",DRINKFTN,I,B017,C-Bushwick Playground,304,37,83,11237
B018-DF0200,Activated,E and Dog,2,TRUE,FALSE,Out in Open,TRUE,B018,Canarsie Park,B018-ZN02,Canarsie Park Zone 2,B-18,B,"100,037,613",DRINKFTN,I,B018-ZN02,E and Dog-Canarsie Park-Canarsie Park Zone 2,318,46,69,11236
B018-DF0807,Activated,H,1,TRUE,FALSE,"Near Ballfield, Out in Open",TRUE,B018,Canarsie Park,B018-ZN01,Canarsie Park Zone 1,B-18,B,"100,039,887",DRINKFTN,I,B018-ZN01,H-Canarsie Park-Canarsie Park Zone 1,318,46,69,11236
B018-DF0808,Activated,A,1,TRUE,FALSE,"Near Ballfield, Under Tree",TRUE,B018,Canarsie Park,B018-ZN01,Canarsie Park Zone 1,B-18,B,"100,039,811",DRINKFTN,I,B018-ZN01,A-Canarsie Park-Canarsie Park Zone 1,318,46,69,11236
B018-DF0809,Activated,H,1,TRUE,FALSE,"Near Ballfield, Out in Open",TRUE,B018,Canarsie Park,B018-ZN01,Canarsie Park Zone 1,B-18,B,"100,039,792",DRINKFTN,I,B018-ZN01,H-Canarsie Park-Canarsie Park Zone 1,318,46,69,11236
B018-DF0810,Activated,A,1,TRUE,FALSE,"Out in Open, Near Ballfield",TRUE,B018,Canarsie Park,B018-ZN01,Canarsie Park Zone 1,B-18,B,"100,039,808",DRINKFTN,I,B018-ZN01,A-Canarsie Park-Canarsie Park Zone 1,318,46,69,11236
B018-DF0811,Activated,D,1,FALSE,FALSE,"Out in Open, In Playground",TRUE,B018,Canarsie Park,B018-01,Dinapoli Plgd,B-18,B,"100,039,834",DRINKFTN,I,B018-01,D-Canarsie Park-Dinapoli Plgd,318,46,69,11236
B018-DF0812,Activated,A,1,FALSE,FALSE,"Out in Open, In Playground",TRUE,B018,Canarsie Park,B018-01,Dinapoli Plgd,B-18,B,"100,039,859",DRINKFTN,I,B018-01,A-Canarsie Park-Dinapoli Plgd,318,46,69,11236
B018-DF0813,Activated,A,1,FALSE,FALSE,"In Playground, Out in Open",TRUE,B018,Canarsie Park,B018-01,Dinapoli Plgd,B-18,B,"100,039,862",DRINKFTN,I,B018-01,A-Canarsie Park-Dinapoli Plgd,318,46,69,11236
B018-DF0814,Broken,A,1,TRUE,FALSE,"Near Ballfield, Out in Open",TRUE,B018,Canarsie Park,B018-ZN01,Canarsie Park Zone 1,B-18,B,"100,039,885",DRINKFTN,I,B018-ZN01,A-Canarsie Park-Canarsie Park Zone 1,318,46,69,11236
B018-DF0815,Broken,A,1,TRUE,FALSE,"Out in Open, Near Ballfield",TRUE,B018,Canarsie Park,B018-ZN01,Canarsie Park Zone 1,B-18,B,"100,039,809",DRINKFTN,I,B018-ZN01,A-Canarsie Park-Canarsie Park Zone 1,318,46,69,11236
B018-DF0816,Activated,C,1,FALSE,FALSE,"In Playground, Out in Open",TRUE,B018,Canarsie Park,B018-02,Canarsie Playground,B-18,B,"100,039,836",DRINKFTN,I,B018-02,C-Canarsie Park-Canarsie Playground,318,46,69,11236
B018-DF0817,Activated,C,1,FALSE,FALSE,"Out in Open, Near Ballfield",TRUE,B018,Canarsie Park,B018-ZN02,Canarsie Park Zone 2,B-18,B,"100,039,874",DRINKFTN,I,B018-ZN02,C-Canarsie Park-Canarsie Park Zone 2,318,46,69,11236
B018-DF1058,Activated,Indoor Drinking Fountain,1,,FALSE,Indoor,FALSE,B018,Canarsie Park,B018-ZN01,Canarsie Park Zone 1,B-18,B,"100,042,957",DRINKFTN,I,B018-BLG1203,Indoor Drinking Fountain-Canarsie Park-Comfort Station,318,46,69,11236
B018-DF1121,Activated,Indoor Drinking Fountain,1,,FALSE,Indoor,FALSE,B018,Canarsie Park,B018-ZN01,Canarsie Park Zone 1,B-18,B,"100,042,936",DRINKFTN,I,B018-BLG1203,Indoor Drinking Fountain-Canarsie Park-Comfort Station,318,46,69,11236
B019-DF0242,Activated,A,1,FALSE,FALSE,In Playground,TRUE,B019,Carroll Park,B019,,B-06,B,"100,037,600",DRINKFTN,I,B019,A-Carroll Park,306,39,76,11231
B019-DF0243,Activated,A,1,FALSE,FALSE,In Playground,TRUE,B019,Carroll Park,B019,,B-06,B,"100,037,625",DRINKFTN,I,B019,A-Carroll Park,306,39,76,11231
B019-DF0245,Activated,C,1,FALSE,FALSE,"Near Ballfield, In Playground",TRUE,B019,Carroll Park,B019,,B-06,B,"100,037,654",DRINKFTN,I,B019,C-Carroll Park,306,39,76,11231
B021-DF0227,Activated,A,1,TRUE,TRUE,"Under Tree, Just Outside Playground, Out in Open",TRUE,B021,Commodore Barry Park,B021,,B-02,B,"100,037,597",DRINKFTN,I,B021,A-Commodore Barry Park,302,35,88,11201
B021-DF0228,Activated,F,1,TRUE,FALSE,"Out in Open, Near Ballfield, Just Outside Playground",TRUE,B021,Commodore Barry Park,B021,,B-02,B,"100,037,620",DRINKFTN,I,B021,F-Commodore Barry Park,302,35,88,11201
B021-DF0230,Activated,F,1,TRUE,FALSE,Out in Open,TRUE,B021,Commodore Barry Park,B021,,B-02,B,"100,037,593",DRINKFTN,I,B021,F-Commodore Barry Park,302,35,88,11201
B021-DF0733,Activated,A,1,TRUE,FALSE,"In Playground, Under Tree",TRUE,B021,Commodore Barry Park,B021-01,Commodore Barry Park Playground,B-02,B,"100,039,103",DRINKFTN,I,B021-01,A-Commodore Barry Park-Commodore Barry Park Playground,302,35,88,11201
B021-DF0734,Activated,A,1,TRUE,FALSE,"Under Tree, Just Outside Playground",TRUE,B021,Commodore Barry Park,B021,,B-02,B,"100,039,140",DRINKFTN,I,B021,A-Commodore Barry Park,302,35,88,11201
B021-DF0735,Activated,A,1,TRUE,TRUE,Near Ballfield,TRUE,B021,Commodore Barry Park,B021,,B-02,B,"100,039,104",DRINKFTN,I,B021,A-Commodore Barry Park,302,35,88,11201
B021-DF1081,NotYetActivated,Indoor Drinking Fountain,1,,TRUE,Indoor,FALSE,B021,Commodore Barry Park,B021,,B-02,B,"100,042,342",DRINKFTN,I,B021-BLG1003,Indoor Drinking Fountain-Commodore Barry Park-Women's Bathhouse,302,35,88,11201
B021-DF1112,NotYetActivated,Indoor Drinking Fountain,1,,TRUE,Indoor,FALSE,B021,Commodore Barry Park,B021,,B-02,B,"100,042,346",DRINKFTN,I,B021-BLG1004,Indoor Drinking Fountain-Commodore Barry Park-Men's Bathhouse,302,35,88,11201
B021-DF1129,Activated,Slop Sink,1,,FALSE,Indoor,FALSE,B021,Commodore Barry Park,B021,,B-02,B,"100,042,486",DRINKFTN,I,B021-BLG1003,Slop Sink-Commodore Barry Park-Women's Bathhouse,302,35,88,11201
B021-DF1131,Activated,Slop Sink,1,,FALSE,Indoor,FALSE,B021,Commodore Barry Park,B021,,B-02,B,"100,042,467",DRINKFTN,I,B021-BLG1004,Slop Sink-Commodore Barry Park-Men's Bathouse,302,35,88,11201
B022-DF0481,Activated,C,1,FALSE,FALSE,Just Outside Playground,TRUE,B022,Middleton Playground,B022,,B-01,B,"100,038,158",DRINKFTN,I,B022,C-Middleton Playground,301,33,90,11206
B023-DF0979,Activated,D,1,,FALSE,,TRUE,B023,Lafayette Playground,B023,,B-03,B,"100,042,954",DRINKFTN,I,B023,D-Lafayette Playground,303,36,81,11221
B025-DF0395,Activated,E,1,FALSE,FALSE,In Playground,TRUE,B025,Cooper Park,B025,,B-01,B,"100,037,945",DRINKFTN,I,B025,E-Cooper Park,301,34,90,11211
B025-DF0396,Activated,E,1,FALSE,FALSE,Near Ballfield,TRUE,B025,Cooper Park,B025,,B-01,B,"100,037,991",DRINKFTN,I,B025,E-Cooper Park,301,34,90,11211
B025-DF0397,Activated,C,1,FALSE,FALSE,In Playground,TRUE,B025,Cooper Park,B025-01,Carnegie Plgd,B-01,B,"100,037,912",DRINKFTN,I,B025-01,C-Cooper Park-Carnegie Plgd,301,34,90,11211
B026-DF0717,Activated,E,1,TRUE,FALSE,"In Playground, Under Tree",TRUE,B026,Cuyler Gore Park,B026,,B-02,B,"100,039,115",DRINKFTN,I,B026,E-Cuyler Gore Park,302,35,88,11238
B028-DF0651,Activated,A,1,FALSE,FALSE,Near Ballfield,TRUE,B028,Dyker Beach Park,B028-ZN01,Dyker Beach Park Zone 1,B-10,B,"100,038,999",DRINKFTN,I,B028-ZN01,A-Dyker Beach Park-Dyker Beach Park Zone 1,310,43,68,11228
B028-DF0652,Activated,A,1,FALSE,TRUE,Near Ballfield,TRUE,B028,Dyker Beach Park,B028-ZN01,Dyker Beach Park Zone 1,B-10,B,"100,039,027",DRINKFTN,I,B028-ZN01,A-Dyker Beach Park-Dyker Beach Park Zone 1,310,43,68,11228
B028-DF0653,Activated,C,1,FALSE,FALSE,Near Ballfield,TRUE,B028,Dyker Beach Park,B028-ZN01,Dyker Beach Park Zone 1,B-10,B,"100,039,007",DRINKFTN,I,B028-ZN01,C-Dyker Beach Park-Dyker Beach Park Zone 1,310,43,68,11228
B028-DF0654,Activated,C,1,FALSE,FALSE,Near Ballfield,TRUE,B028,Dyker Beach Park,B028-ZN01,Dyker Beach Park Zone 1,B-10,B,"100,038,994",DRINKFTN,I,B028-ZN01,C-Dyker Beach Park-Dyker Beach Park Zone 1,310,43,68,11228
B028-DF0656,Activated,A,1,FALSE,FALSE,In Playground,TRUE,B028,Dyker Beach Park,B028-01,Bay 8 Playground,B-10,B,"100,039,087",DRINKFTN,I,B028-01,A-Dyker Beach Park-Bay 8 Playground,310,43,68,11228
B028-DF0657,Activated,A,1,FALSE,FALSE,In Playground,TRUE,B028,Dyker Beach Park,B028-ZN01,Dyker Beach Park Zone 1,B-10,B,"100,039,043",DRINKFTN,I,B028-ZN01,A-Dyker Beach Park-Dyker Beach Park Zone 1,310,43,68,11228
B028-DF0659,Activated,A,1,FALSE,TRUE,In Playground,TRUE,B028,Dyker Beach Park,B028-03,Dyker Plgd,B-10,B,"100,039,044",DRINKFTN,I,B028-03,A-Dyker Beach Park-Dyker Plgd,310,43,68,11228
B028-DF0662,Activated,A,1,FALSE,FALSE,Near Ballfield,TRUE,B028,Dyker Beach Park,B028-ZN02,Dyker Beach Park Zone 2,B-10,B,"100,039,060",DRINKFTN,I,B028-ZN02,A-Dyker Beach Park-Dyker Beach Park Zone 2,310,43,68,11228
B028-DF0664,Activated,A,1,FALSE,FALSE,In Playground,TRUE,B028,Dyker Beach Park,B028-03,Dyker Plgd,B-10,B,"100,039,085",DRINKFTN,I,B028-03,A-Dyker Beach Park-Dyker Plgd,310,43,68,11228
B028-DF0665,Activated,D,1,FALSE,FALSE,In Playground,TRUE,B028,Dyker Beach Park,B028-03,Dyker Plgd,B-10,B,"100,039,091",DRINKFTN,I,B028-03,D-Dyker Beach Park-Dyker Plgd,310,43,68,11228
B028-DF0666,Activated,C,1,FALSE,FALSE,Near Ballfield,TRUE,B028,Dyker Beach Park,B028-ZN02,Dyker Beach Park Zone 2,B-10,B,"100,039,020",DRINKFTN,I,B028-ZN02,C-Dyker Beach Park-Dyker Beach Park Zone 2,310,43,68,11228
B028-DF0667,Activated,A,1,FALSE,FALSE,Near Ballfield,TRUE,B028,Dyker Beach Park,B028-ZN02,Dyker Beach Park Zone 2,B-10,B,"100,039,063",DRINKFTN,I,B028-ZN02,A-Dyker Beach Park-Dyker Beach Park Zone 2,310,43,68,11228
B028-DF0726,Activated,A,1,FALSE,FALSE,Just Outside Playground,TRUE,B028,Dyker Beach Park,B028-ZN01,Dyker Beach Park Zone 1,B-10,B,"100,039,163",DRINKFTN,I,B028-ZN01,A-Dyker Beach Park-Dyker Beach Park Zone 1,310,43,68,11228
B028-DF0727,Activated,A,1,FALSE,FALSE,Just Outside Playground,TRUE,B028,Dyker Beach Park,B028-ZN01,Dyker Beach Park Zone 1,B-10,B,"100,039,165",DRINKFTN,I,B028-ZN01,A-Dyker Beach Park-Dyker Beach Park Zone 1,310,43,68,11228
B028-DF0860,Broken,A,1,FALSE,FALSE,Near Ballfield,TRUE,B028,Dyker Beach Park,B028-ZN02,Dyker Beach Park Zone 2,B-10,B,"100,040,079",DRINKFTN,I,B028-ZN02,A-Dyker Beach Park-Dyker Beach Park Zone 2,310,43,68,11228
B028-DF0861,Broken,A,1,FALSE,FALSE,Near Ballfield,TRUE,B028,Dyker Beach Park,B028-ZN02,Dyker Beach Park Zone 2,B-10,B,"100,040,010",DRINKFTN,I,B028-ZN02,A-Dyker Beach Park-Dyker Beach Park Zone 2,310,43,68,11228
B028-DF0862,Activated,Bottle Filler High Low,3,FALSE,FALSE,Near Ballfield,TRUE,B028,Dyker Beach Park,B028-ZN02,Dyker Beach Park Zone 2,B-10,B,"100,040,005",DRINKFTN,I,B028-ZN02,Bottle Filler High Low-Dyker Beach Park-Dyker Beach Park Zone 2,310,43,68,11228
B028-DF0863,Activated,C,1,FALSE,FALSE,Near Ballfield,TRUE,B028,Dyker Beach Park,B028-ZN02,Dyker Beach Park Zone 2,B-10,B,"100,040,076",DRINKFTN,I,B028-ZN02,C-Dyker Beach Park-Dyker Beach Park Zone 2,310,43,68,11228
B028-DF0864,Broken,A,1,FALSE,FALSE,Near Ballfield,TRUE,B028,Dyker Beach Park,B028-ZN01,Dyker Beach Park Zone 1,B-10,B,"100,040,006",DRINKFTN,I,B028-ZN01,A-Dyker Beach Park-Dyker Beach Park Zone 1,310,43,68,11228
B028-DF0865,Activated,A,1,FALSE,FALSE,Near Ballfield,TRUE,B028,Dyker Beach Park,B028-ZN01,Dyker Beach Park Zone 1,B-10,B,"100,040,070",DRINKFTN,I,B028-ZN01,A-Dyker Beach Park-Dyker Beach Park Zone 1,310,43,68,11228
B028-DF1021,Activated,Other,1,,FALSE,,TRUE,B028,Dyker Beach Park,B028,,B-10,B,"100,042,965",DRINKFTN,I,B028,Other-Dyker Beach Park,310,43,68,11228
B028-DF1022,Activated,Other,1,,FALSE,,TRUE,B028,Dyker Beach Park,B028,,B-10,B,"100,042,978",DRINKFTN,I,B028,Other-Dyker Beach Park,310,43,68,11228
B028-DF1103,Activated,Indoor Drinking Fountain,1,,FALSE,Indoor,FALSE,B028,Dyker Beach Park,B028-ZN01,Dyker Beach Park Zone 1,B-10,B,"100,042,969",DRINKFTN,I,B028-ZN01-BLG1103,Indoor Drinking Fountain-Dyker Beach Park-DYKER BAY 86,310,43,68,11228
B028-DF1111,Activated,Indoor Drinking Fountain,1,,FALSE,Indoor,FALSE,B028,Dyker Beach Park,B028,,B-10,B,"100,043,588",DRINKFTN,I,B028-BLG1108,Indoor Drinking Fountain-Dyker Beach Park-DYKER GOLF,310,43,68,11228
B032-DF0002,Activated,E,1,TRUE,TRUE,"In Playground, Under Tree",TRUE,B032,Fort Greene Park,B032-01,Fort Greene Plgd,B-02,B,"100,037,430",DRINKFTN,I,B032-01,E-Fort Greene Park-Fort Greene Plgd,302,35,88,11201
B032-DF0320,Activated,C,1,FALSE,FALSE,Out in Open,TRUE,B032,Fort Greene Park,B032-ZN03,Fort Greene Park Zone 3,B-02,B,"100,037,724",DRINKFTN,I,B032-ZN03,C-Fort Greene Park-Fort Greene Park Zone 3,302,35,88,11201
B032-DF0322,Activated,E and Dog,2,TRUE,FALSE,Out in Open,TRUE,B032,Fort Greene Park,B032-ZN02,Fort Greene Park Zone 2,B-02,B,"100,037,794",DRINKFTN,I,B032-ZN02,E and Dog-Fort Greene Park-Fort Greene Park Zone 2,302,35,88,11201
B032-DF0323,Activated,B,1,FALSE,FALSE,Out in Open,TRUE,B032,Fort Greene Park,B032-ZN02,Fort Greene Park Zone 2,B-02,B,"100,037,817",DRINKFTN,I,B032-ZN02,B-Fort Greene Park-Fort Greene Park Zone 2,302,35,88,11201
B032-DF0324,Activated,D,1,TRUE,FALSE,In Playground,TRUE,B032,Fort Greene Park,B032-02,Fort Greene Park,B-02,B,"100,037,845",DRINKFTN,I,B032-02,D-Fort Greene Park-Fort Greene Park,302,35,88,11201
B032-DF0867,Activated,A,1,FALSE,FALSE,In Playground,TRUE,B032,Fort Greene Park,B032-01,Fort Greene Plgd,B-02,B,"100,040,147",DRINKFTN,I,B032-01,A-Fort Greene Park-Fort Greene Playground,302,35,88,11201
B032-DF1104,Activated,Food Prep Sink,1,,FALSE,Indoor,FALSE,B032,Fort Greene Park,B032-ZN03,Fort Greene Park Zone 3,B-02,B,"100,042,958",DRINKFTN,I,B032-ZN01-BLG1013,Food Prep Sink-Fort Greene Park-Fort Greene Visitors Center,302,35,88,11201
B032-DF1105,Activated,Water Cooler,1,,FALSE,Indoor,FALSE,B032,Fort Greene Park,B032-ZN03,Fort Greene Park Zone 3,B-02,B,"100,042,938",DRINKFTN,I,B032-ZN01-BLG1013,Water Cooler-Fort Greene Park-Fort Greene Visitors Center,302,35,88,11201
B035-DF0699,Broken,A,1,FALSE,FALSE,"Under Tree, Out in Open",TRUE,B035,John Paul Jones Park,B035,,B-10,B,"100,039,133",DRINKFTN,I,B035,A-John Paul Jones Park,310,43,68,11209
B035-DF0700,Broken,A,1,FALSE,FALSE,"Under Tree, Out in Open",TRUE,B035,John Paul Jones Park,B035,,B-10,B,"100,039,146",DRINKFTN,I,B035,A-John Paul Jones Park,310,43,68,11209
B038-DF0309,Activated,D,1,FALSE,FALSE,,TRUE,B038,Fulton Park,B038,,B-03,B,"100,037,722",DRINKFTN,I,B038,D-Fulton Park,303,36,81,11233
B038-DF0868,Activated,C,1,FALSE,FALSE,"Under Tree, In Shade",TRUE,B038,Fulton Park,B038,,B-03,B,"100,040,170",DRINKFTN,I,B038,C-Fulton Park,303,36,81,11233
B042-DF0673,Activated,CS Metal,1,FALSE,FALSE,"Just Outside Playground, Out in Open",TRUE,B042,Gravesend Park,B042,,B-12,B,"100,039,039",DRINKFTN,I,B042,CS Metal-Gravesend Park,312,44,66,11204
B042-DF0674,Activated,C,1,FALSE,FALSE,"Out in Open, In Playground",TRUE,B042,Gravesend Park,B042,,B-12,B,"100,039,062",DRINKFTN,I,B042,C-Gravesend Park,312,44,66,11204
B042-DF0675,Activated,C,1,FALSE,FALSE,Near Ballfield,TRUE,B042,Gravesend Park,B042,,B-12,B,"100,039,016",DRINKFTN,I,B042,C-Gravesend Park,312,44,66,11204
B042-DF0676,Activated,C,1,FALSE,FALSE,Near Ballfield,TRUE,B042,Gravesend Park,B042,,B-12,B,"100,039,037",DRINKFTN,I,B042,C-Gravesend Park,312,44,66,11204
B042-DF0677,Activated,C,1,FALSE,FALSE,"Out in Open, Near Ballfield",TRUE,B042,Gravesend Park,B042,,B-12,B,"100,039,034",DRINKFTN,I,B042,C-Gravesend Park,312,44,66,11204
B042-DF0678,Activated,C,1,FALSE,FALSE,"Near Ballfield, In Shade",TRUE,B042,Gravesend Park,B042,,B-12,B,"100,039,058",DRINKFTN,I,B042,C-Gravesend Park,312,44,66,11204
B042-DF0679,Broken,C,1,FALSE,FALSE,"Just Outside Playground, Out in Open",TRUE,B042,Gravesend Park,B042,,B-12,B,"100,039,083",DRINKFTN,I,B042,C-Gravesend Park,312,44,66,11204
B042-DF0680,NotYetActivated,C,1,FALSE,FALSE,"In Playground, Out in Open",TRUE,B042,Gravesend Park,B042,,B-12,B,"100,039,014",DRINKFTN,I,B042,C-Gravesend Park,312,44,66,11204
